ID,COMUNE
0,AdraraSanMartino
1,AdraraSanRocco
2,AlbanoSant'Alessandro
3,Albino
4,Algua
5,Almè
6,AlmennoSanBartolomeo
7,AlmennoSanSalvatore
8,AlzanoLombardo
9,Ambivere
10,Antegnate
11,Arcene
12,Ardesio
13,Arzagod'Adda
14,Averara
15,Aviatico
16,AzzanoSanPaolo
17,Azzone
18,Bagnatica
19,Barbata
20,Bariano
21,Barzana
22,Bedulita
23,Berbenno
24,Bergamo
25,BerzoSanFermo
26,Bianzano
27,Blello
28,Bolgare
29,Boltiere
30,BonateSopra
31,BonateSotto
32,BorgodiTerzo
33,Bossico
34,Bottanuco
35,Bracca
36,Branzi
37,Brembate
38,BrembateDiSopra
39,BrignanoGerad'Adda
40,Brumano
41,Brusaporto
42,Calcinate
43,Calcio
44,Caluscod'Adda
45,Calvenzano
46,CamerataCornello
47,Canonicad'Adda
48,Capizzone
49,CapriateSanGervasio
50,CaprinoBergamasco
51,Caravaggio
52,CarobbioDegliAngeli
53,Carona
54,Carvico
55,Casazza
56,Casirated'Adda
57,Casnigo
58,Cassiglio
59,CastelRozzone
60,CastelliCalepio
61,CastioneDellaPresolana
62,Castro
63,Cavernago
64,CazzanoSant'Andrea
65,CenateSopra
66,CenateSotto
67,Cene
68,Cerete
69,Chignolod'Isola
70,Chiuduno
71,CisanoBergamasco
72,Ciserano
73,CividateAlPiano
74,Clusone
75,Colere
76,ColognoAlSerio
77,Colzate
78,ComunNuovo
79,CornaImagna
80,Cornalba
81,Cortenuoa
82,CostadiMezzate
83,CostaDiSerina
84,CostaValleImagna
85,CostaVolpino
86,Covo
87,Credaro
88,Curno
89,Cusio
90,Dalmine
91,Dossena
92,EndineGaiano
93,Entratico
94,FaraGerad'Adda
95,FaraOlivanaConSola
96,Filago
97,FinoDelMonte
98,FioranoAlSerio
99,Fontanella
100,Fonteno
101,Foppolo
102,ForestoSparso
103,FornovoSanGiovanni
104,FuipianoValleImagna
105,Gandellino
106,Gandino
107,Gandosso
108,GaverinaTerme
109,Gazzaniga
110,Ghisalba
111,Gorlago
112,Gorle
113,Gorno
114,Grassobbio
115,Gromo
116,Grone
117,GrumelloDelMonte
118,IsolaDiFondra
119,Isso
120,Lallio
121,Leffe
122,Lenna
123,Levate
124,Locatello
125,Lovere
126,Lurano
127,Luzzana
128,Madone
129,Mapello
130,Martinengo
131,Medolago
132,Mezzoldo
133,MisanodiGerad'Adda
134,MoioDe'Calvi
135,MonasteroloDelCastello
136,Montello
137,Morengo
138,MornicoAlSerio
139,Mozzanica
140,Mozzo
141,Nembro
142,OlmoAlBrembo
143,OltreIlColle
144,OltressendaAlta
145,Oneta
146,Onore
147,OrioAlSerio
148,Ornica
149,OsioSopra
150,OsioSotto
151,Pagazzano
152,Paladina
153,Palazzago
154,Palosco
155,Parre
156,Parzanica
157,Pedrengo
158,Peia
159,Pianico
160,Piario
161,PiazzaBrembana
162,Piazzatorre
163,Piazzolo
164,Pognano
165,PonteNossa
166,PonteSanPietro
167,Ponteranica
168,Pontida
169,PontiroloNuovo
170,Pradalunga
171,Predore
172,Premolo
173,Presezzo
174,Pumenengo
175,Ranica
176,Ranzanico
177,RivaDiSolto
178,Rogno
179,RomanoDiLombardia
180,Roncobello
181,Roncola
182,Rotad'Imagna
183,Rovetta
184,SanGiovanniBianco
185,SanPaolod'Argon
186,SanPellegrinoTerme
187,SantaBrigida
188,Sant'OmobonoImagna
189,Sarnico
190,Scanzorosciate
191,Schilpario
192,Sedrina
193,Selvino
194,Seriate
195,Serina
196,SoltoCollina
197,Solza
198,Songavazzo
199,Sorisole
200,SottoIlMonteGiovanniXxiii
201,Sovere
202,SpinonealLago
203,Spirano
204,Stezzano
205,Strozza
206,Suisio
207,Taleggio
208,TavernolaBergamasca
209,Telgate
210,Ternod'Isola
211,TorreBoldone
212,Torrede'Busi
213,Torrede'Roveri
214,TorrePallavicina
215,TrescoreBalneario
216,Treviglio
217,Treviolo
218,UbialeClanezzo
219,Urgnano
220,Brembilla
221,Valbondione
222,Valbrembo
223,Valgoglio
224,Valleve
225,Valnegra
226,Valtorta
227,Vedeseta
228,Verdellino
229,Verdello
230,Vertova
231,Viadanica
232,ViganoSanMartino
233,Vigolo
234,Villad'Adda
235,Villad'Almè
236,VillaDiSerio
237,Villad'Ogna
238,Villongo
239,VilminoreDiScalve
240,Zandobbio
241,Zanica
242,Zogno
